### DATA:
#
# 24
#      Q             I(Q)           Error     
0.00000000E+00  0.12515900E+04  0.00000000E+00
0.54583300E-03  0.12512900E+04  0.00000000E+00
0.10916700E-02  0.12504000E+04  0.00000000E+00
0.16375000E-02  0.12489000E+04  0.00000000E+00
0.21833300E-02  0.12468200E+04  0.00000000E+00
0.27291700E-02  0.12441500E+04  0.00000000E+00
0.32750000E-02  0.12408900E+04  0.00000000E+00
0.38208300E-02  0.12370600E+04  0.00000000E+00
0.43666700E-02  0.12326500E+04  0.00000000E+00
0.49125000E-02  0.12276800E+04  0.00000000E+00
0.54583300E-02  0.12221500E+04  0.00000000E+00
0.60041700E-02  0.12160700E+04  0.00000000E+00
0.65500000E-02  0.12094600E+04  0.00000000E+00
0.70958300E-02  0.12023200E+04  0.00000000E+00
0.76416700E-02  0.11946800E+04  0.00000000E+00
0.81875000E-02  0.11865300E+04  0.00000000E+00
0.87333300E-02  0.11778900E+04  0.00000000E+00
0.92791700E-02  0.11687800E+04  0.00000000E+00
0.98250000E-02  0.11592100E+04  0.00000000E+00
0.10370800E-01  0.11492000E+04  0.00000000E+00
0.10916700E-01  0.11387700E+04  0.00000000E+00
0.11462500E-01  0.11279300E+04  0.00000000E+00
0.12008300E-01  0.11167000E+04  0.00000000E+00
0.12554200E-01  0.11050900E+04  0.00000000E+00
